"","date","tx_type","fund","value","unit","rowth"
"1",2021-11-04,"ซื้อ","K-CHINA-SSF",2500,261.192,701
"2",2021-11-04,"ซื้อ","KFGGSSF",2500,229.8618,705
"3",2021-11-04,"ซื้อ","PRINCIPAL iPROPEN-SSF",2500,259.4949,709
"4",2021-11-05,"ซื้อ","K-USA-SSF",2500,92.7977,696
"5",2021-12-02,"ซื้อ","K-CHINA-SSF",30000,3354.5414,678
"6",2021-12-02,"ซื้อ","KFGGSSF",65000,6528.7264,682
"7",2021-12-02,"ซื้อ","PRINCIPAL iPROPEN-SSF",30000,3188.7416,686
"8",2021-12-02,"ซื้อ","K-USA-SSF",65000,2689.8295,690
"9",2021-12-30,"ซื้อ","KFGTECHRMF",30000,1593.2531,665
"10",2021-12-30,"ซื้อ","K-USARMF",30000,2982.137,669
"11",2021-12-30,"ซื้อ","KFGGRMF",30000,3189.5891,673
"12",2022-04-29,"ซื้อ","KFCASH-A",200,14.9665,659
"13",2022-12-28,"ซื้อ","UGIS-SSF",50000,4735.5659,640
"14",2022-12-28,"ซื้อ","K-CHINA-SSF",1e+05,15954.5614,648
"15",2022-12-29,"ซื้อ","ONE-UGG-ASSF",50000,2624.5065,627
"16",2023-02-27,"ซื้อ","1AM-DAILY-RA",100,8.0612,621
"17",2023-04-28,"ซื้อ","UOBID",100,8.3687,615
"18",2023-07-05,"ซื้อ","KFS100SSF",50000,4443.9704,609
"19",2023-07-11,"ซื้อ","KFS100SSF",50000,4476.5963,604
"20",2023-10-05,"ซื้อ","KFS100SSF",1e+05,9153.1505,589
"21",2023-10-05,"ซื้อ","KFS100RMF",50000,1547.3648,593
"22",2023-12-18,"ซื้อ","KKP GB THAI ESG",1e+05,10047.4238,583
"23",2024-03-11,"ซื้อ","KKP GB THAI ESG",50000,4854.039,577
"24",2024-03-15,"สับเปลี่ยนเข้า","ONE-ALLCHINA-ASSF",70929.65,9756.7539,572
"25",2024-03-15,"สับเปลี่ยนออก","ONE-UGG-ASSF",-70929.65,-2624.5065,572
"26",2024-04-26,"ซื้อ","KFCASH-A",500,36.6281,560
"27",2024-06-10,"ขาย","KFCASH-A",-705.93,-51.5946,540
"28",2024-06-10,"ขาย","UOBID",-101.93,-8.3687,544
"29",2024-06-10,"สับเปลี่ยนเข้า","KFGTECHRMF",22685.63,1541.0386,554
"30",2024-06-10,"สับเปลี่ยนออก","KFGGRMF",-22685.63,-3189.5891,554
"31",2024-06-17,"ซื้อ","KKP PGE-UH-SSF",5000,414.2845,521
"32",2024-06-17,"ขาย","1AM-DAILY-RA",-102.18,-8.0612,525
"33",2024-06-17,"สับเปลี่ยนเข้า","K-USA-SSF",92125.21,5679.7293,535
"34",2024-06-17,"สับเปลี่ยนออก","K-CHINA-SSF",-92125.21,-19570.2948,535
"35",2024-06-25,"ซื้อ","ES-SETESG-ThaiESG-D",1e+05,10582.5705,496
"36",2024-06-25,"ซื้อ","MEGA10AIRMF",1000,92.3668,500
"37",2024-06-26,"ซื้อ","B-VIETNAMSSF",16000,1093.262,491
"38",2024-07-26,"ซื้อ","B-VIETNAMSSF",16000,1134.0198,485
"39",2024-08-23,"ซื้อ","ES-SETESG-ThaiESG-D",1e+05,10408.4266,479
"40",2024-08-26,"ซื้อ","B-VIETNAMSSF",16000,1154.5927,474
"41",2024-08-27,"ซื้อ","ES-SETESG-ThaiESG-D",50000,5159.6924,469
"42",2024-09-26,"ซื้อ","B-VIETNAMSSF",16000,1178.8977,459
"43",2024-09-26,"ซื้อ","KT-INDIA-SSF",10000,411.5886,463
"44",2024-10-28,"ซื้อ","B-VIETNAMSSF",15000,1130.4544,449
"45",2024-10-28,"ซื้อ","KT-INDIA-SSF",15000,666.7674,453
"46",2024-11-04,"สับเปลี่ยนเข้า","KFVIETSSF",207412.17,23479.1168,443
"47",2024-11-04,"สับเปลี่ยนออก","KFS100SSF",-207412.17,-18073.7172,443
"48",2024-11-18,"สับเปลี่ยนเข้า","ONE-UGG-ASSF",75167.98,2476.6554,432
"49",2024-11-18,"สับเปลี่ยนออก","ONE-ALLCHINA-ASSF",-75167.98,-9756.7539,432
"50",2024-11-26,"ซื้อ","KFVIETSSF",15000,1728.0508,417
"51",2024-11-26,"ซื้อ","KT-INDIA-SSF",15000,648.7692,421
"52",2024-11-29,"สับเปลี่ยนเข้า","KFINDIARMF",51811.65,3025.9572,412
"53",2024-11-29,"สับเปลี่ยนออก","KFS100RMF",-51811.65,-1547.3648,412
"54",2024-12-02,"ซื้อ","KT-INDIA-SSF",30000,1289.0418,392
"55",2024-12-24,"ซื้อ","KFGGSSF",30000,3808.7016,382
"56",2025-02-27,"ซื้อ","ES-SETESG-ThaiESG-D",50000,5769.2751,376
